Id,metric_alias_w_BMVHIvZZhQhZ8YTQIVdEz_0_0
StatusCode,Complete
Messages,
Full label,ap-southeast-2:AWS/EC2 InstanceId:i-0a9ce598bc481fab0 NetworkIn Average 60
Label,NetworkIn
2024/11/15 19:30:00,4804
2024/11/15 19:31:00,
2024/11/15 19:32:00,
2024/11/15 19:33:00,
2024/11/15 19:34:00,
2024/11/15 19:35:00,2222
2024/11/15 19:36:00,
2024/11/15 19:37:00,
2024/11/15 19:38:00,
2024/11/15 19:39:00,
2024/11/15 19:40:00,22792.6
2024/11/15 19:41:00,
2024/11/15 19:42:00,
2024/11/15 19:43:00,
2024/11/15 19:44:00,
2024/11/15 19:45:00,4541.4
2024/11/15 19:46:00,
2024/11/15 19:47:00,
2024/11/15 19:48:00,
2024/11/15 19:49:00,
2024/11/15 19:50:00,259815.6
2024/11/15 19:51:00,
2024/11/15 19:52:00,
2024/11/15 19:53:00,
2024/11/15 19:54:00,
2024/11/15 19:55:00,3150318.4
2024/11/15 19:56:00,
2024/11/15 19:57:00,
2024/11/15 19:58:00,
2024/11/15 19:59:00,
2024/11/15 20:00:00,1280137.4
2024/11/15 20:01:00,
2024/11/15 20:02:00,
2024/11/15 20:03:00,
2024/11/15 20:04:00,
2024/11/15 20:05:00,6815283.6
2024/11/15 20:06:00,
2024/11/15 20:07:00,
2024/11/15 20:08:00,
2024/11/15 20:09:00,
2024/11/15 20:10:00,1949313.4
2024/11/15 20:11:00,
2024/11/15 20:12:00,
2024/11/15 20:13:00,
2024/11/15 20:14:00,
2024/11/15 20:15:00,1320198.2
2024/11/15 20:16:00,
2024/11/15 20:17:00,
2024/11/15 20:18:00,
2024/11/15 20:19:00,
2024/11/15 20:20:00,6391585.6
2024/11/15 20:21:00,
2024/11/15 20:22:00,
2024/11/15 20:23:00,
2024/11/15 20:24:00,
2024/11/15 20:25:00,9019040
2024/11/15 20:26:00,
2024/11/15 20:27:00,
2024/11/15 20:28:00,
2024/11/15 20:29:00,
2024/11/15 20:30:00,9479282.4
2024/11/15 20:31:00,
2024/11/15 20:32:00,
2024/11/15 20:33:00,
2024/11/15 20:34:00,
2024/11/15 20:35:00,15308501.2
2024/11/15 20:36:00,
2024/11/15 20:37:00,
2024/11/15 20:38:00,
2024/11/15 20:39:00,
2024/11/15 20:40:00,16495973
2024/11/15 20:41:00,
2024/11/15 20:42:00,
2024/11/15 20:43:00,
2024/11/15 20:44:00,
2024/11/15 20:45:00,2547.2
2024/11/15 20:46:00,
2024/11/15 20:47:00,
2024/11/15 20:48:00,
2024/11/15 20:49:00,
2024/11/15 20:50:00,3968
2024/11/15 20:51:00,
2024/11/15 20:52:00,
2024/11/15 20:53:00,
2024/11/15 20:54:00,
2024/11/15 20:55:00,4050.4
2024/11/15 20:56:00,
2024/11/15 20:57:00,
2024/11/15 20:58:00,
2024/11/15 20:59:00,
2024/11/15 21:00:00,225638
